act_symbol,period_end_date,reported,estimate
AA,2022-03-31,3.06,2.99
AA,2022-06-30,2.67,2.60
AA,2022-09-30,-0.33,0.09
AA,2022-12-31,-0.70,-0.85
AA,2023-03-31,-0.23,-0.05
AA,2023-06-30,-0.35,-0.59
AA,2023-09-30,-1.14,-1.13
AA,2023-12-31,-0.56,-0.99
AA,2024-03-31,-0.81,-0.62
AA,2024-06-30,0.16,0.11
AA,2024-09-30,0.57,0.23
AA,2024-12-31,1.04,0.93
AA,2025-03-31,2.15,1.73
AA,2025-06-30,0.39,0.29
AA,2025-09-30,-0.02,-0.15
AAPL,2022-03-31,1.52,1.43
AAPL,2022-06-30,1.20,1.14
AAPL,2022-09-30,1.29,1.26
AAPL,2022-12-31,1.88,1.93
AAPL,2023-03-31,1.88,1.93
AAPL,2023-06-30,1.52,1.44
AAPL,2023-09-30,1.46,1.39
AAPL,2023-12-31,2.18,2.09
AAPL,2024-03-31,1.53,1.51
AAPL,2024-06-30,1.40,1.34
AAPL,2024-09-30,1.64,1.49
AAPL,2024-12-31,2.40,2.36
AAPL,2025-03-31,1.65,1.61
AAPL,2025-06-30,1.57,1.42
AAPL,2025-09-30,1.85,1.73
ABBV,2022-03-31,3.16,3.15
ABBV,2022-06-30,3.37,3.31
ABBV,2022-09-30,3.66,3.56
ABBV,2022-12-31,3.60,3.54
ABBV,2023-03-31,2.46,2.44
ABBV,2023-06-30,2.91,2.79
ABBV,2023-09-30,2.95,2.86
ABBV,2023-12-31,2.79,2.76
ABBV,2024-03-31,2.31,2.26
ABBV,2024-06-30,2.65,2.57
ABBV,2024-09-30,3.00,2.92
ABBV,2024-12-31,2.16,2.13
ABBV,2025-03-31,2.46,2.39
ABBV,2025-06-30,2.97,2.89
ABBV,2025-09-30,1.86,1.77
ABNB,2022-03-31,-0.03,-0.28
ABNB,2022-06-30,0.56,0.41
ABNB,2022-09-30,1.79,1.43
ABNB,2022-12-31,0.48,0.27
ABNB,2023-03-31,0.18,0.10
ABNB,2023-06-30,0.98,0.77
ABNB,2023-09-30,2.39,2.08
ABNB,2023-12-31,0.76,0.67
ABNB,2024-03-31,0.41,0.23
ABNB,2024-06-30,0.86,0.92
ABNB,2024-09-30,2.13,2.17
ABNB,2024-12-31,0.73,0.58
ABNB,2025-03-31,0.24,0.25
ABNB,2025-06-30,1.03,0.93
ABNB,2025-09-30,2.21,2.29
ADBE,2022-02-28,3.37,3.34
ADBE,2022-05-31,3.35,3.30
ADBE,2022-08-31,3.40,3.33
